<DATE>;<TIME>;ROSNEFT;BRENT;GAZPROM;USD_RUB
15.09.2020;10:00:00;37936;40.2;18075;76036
15.09.2020;11:00:00;38073;40.53;18229;75934
15.09.2020;12:00:00;38186;40.9;18256;75870
15.09.2020;13:00:00;38222;40.9;18330;75738
15.09.2020;14:00:00;38222;40.69;18375;75758
15.09.2020;15:00:00;38590;40.69;18393;75727
15.09.2020;16:00:00;38779;40.52;18442;75853
15.09.2020;17:00:00;38807;40.51;18409;75744
15.09.2020;18:00:00;38783;40.9;18476;75661
15.09.2020;19:00:00;38873;41.2;18511;75619
15.09.2020;20:00:00;38913;41.24;18508;75663
15.09.2020;21:00:00;38860;41.3;18499;75645
15.09.2020;22:00:00;38903;41.18;18457;75722
15.09.2020;23:00:00;38950;41.26;18440;75736
16.09.2020;10:00:00;39231;41.99;18501;75701
16.09.2020;11:00:00;39209;41.97;18434;75616
16.09.2020;12:00:00;39109;41.98;18375;75456
16.09.2020;13:00:00;39045;41.99;18393;75448
16.09.2020;14:00:00;39013;41.99;18390;75545
16.09.2020;15:00:00;38898;41.95;18414;75700
16.09.2020;16:00:00;38600;42.1;18430;75683
16.09.2020;17:00:00;38580;42.2;18564;75683
16.09.2020;18:00:00;38776;42.53;18590;75580
16.09.2020;19:00:00;38785;42.78;18546;75656
16.09.2020;20:00:00;38722;42.67;18497;75652
16.09.2020;21:00:00;38794;42.81;18551;75698
16.09.2020;22:00:00;38815;42.89;18550;75808
16.09.2020;23:00:00;38747;42.92;18550;75722
17.09.2020;10:00:00;38400;42.49;18406;75935
17.09.2020;11:00:00;38405;42.48;18308;75933
17.09.2020;12:00:00;38252;42.73;18276;75763
17.09.2020;13:00:00;38170;42.78;18309;75778
17.09.2020;14:00:00;38150;42.77;18373;75823
17.09.2020;15:00:00;38267;42.56;18486;76009
17.09.2020;16:00:00;38211;42.86;18559;76024
17.09.2020;17:00:00;38255;43.51;18547;75958
17.09.2020;18:00:00;38267;43.83;18643;76012
17.09.2020;19:00:00;38275;43.88;18586;75928
17.09.2020;20:00:00;38383;43.85;18595;75989
17.09.2020;21:00:00;38490;43.8;18591;75958
17.09.2020;22:00:00;38444;43.87;18582;75854
17.09.2020;23:00:00;38475;43.88;18618;75890
18.09.2020;10:00:00;38137;43.94;18481;75734
18.09.2020;11:00:00;38175;43.82;18459;75753
18.09.2020;12:00:00;38348;43.94;18524;75758
18.09.2020;13:00:00;38262;43.98;18575;75762
18.09.2020;14:00:00;38322;43.52;18514;75926
18.09.2020;15:00:00;38445;43.55;18576;76043
18.09.2020;16:00:00;38434;43.86;18629;76268
18.09.2020;17:00:00;38236;43.94;18543;76189
18.09.2020;18:00:00;38097;43.74;18390;76386
18.09.2020;19:00:00;38111;43.65;18350;76258
18.09.2020;20:00:00;37909;43.44;18358;76268
18.09.2020;21:00:00;37993;43.59;18358;76316
18.09.2020;22:00:00;37984;43.52;18370;76432
18.09.2020;23:00:00;37979;43.58;18375;76449
21.09.2020;10:00:00;37478;42.92;18123;76781
21.09.2020;11:00:00;37557;42.77;18037;77060
21.09.2020;12:00:00;37542;42.81;17975;77028
21.09.2020;13:00:00;37576;42.86;17987;76870
21.09.2020;14:00:00;37331;42.91;17966;76912
21.09.2020;15:00:00;37284;42.84;17877;76945
21.09.2020;16:00:00;36960;42.45;17873;77022
21.09.2020;17:00:00;36796;42.03;17736;77101
21.09.2020;18:00:00;36745;41.7;17773;77100
21.09.2020;19:00:00;36902;42.05;17853;77035
21.09.2020;20:00:00;36975;41.89;17863;76974
21.09.2020;21:00:00;36951;42.11;17851;76959
21.09.2020;22:00:00;37032;42.35;17927;76982
21.09.2020;23:00:00;36993;42.33;17919;76804
22.09.2020;10:00:00;37201;42.15;17947;76982
22.09.2020;11:00:00;37540;42.46;18204;76907
22.09.2020;12:00:00;37546;42.55;18127;76692
22.09.2020;13:00:00;37532;42.37;18149;76550
22.09.2020;14:00:00;37580;42.16;18159;76607
22.09.2020;15:00:00;37605;42.35;18176;76518
22.09.2020;16:00:00;37636;42.19;18187;76603
22.09.2020;17:00:00;37532;42.04;18110;76905
22.09.2020;18:00:00;37500;42.26;18060;76853
22.09.2020;19:00:00;37369;41.87;18030;76866
22.09.2020;20:00:00;37411;42.11;18063;76805
22.09.2020;21:00:00;37434;42.15;18061;76835
22.09.2020;22:00:00;37531;42.23;18073;76727
22.09.2020;23:00:00;37686;42.21;18106;76780
23.09.2020;10:00:00;37910;42.15;18191;76992
23.09.2020;11:00:00;37813;42.46;18014;76872
23.09.2020;12:00:00;37705;42.5;18043;77034
23.09.2020;13:00:00;37657;42.37;18013;77218
23.09.2020;14:00:00;37780;42.28;18050;77495
23.09.2020;15:00:00;37840;42.32;18018;77560
23.09.2020;16:00:00;37905;42.42;17944;77528
23.09.2020;17:00:00;37644;42.78;17986;77553
23.09.2020;18:00:00;37444;42.44;17954;77488
23.09.2020;19:00:00;37652;42.51;18004;77417
23.09.2020;20:00:00;37451;42.3;17962;77574
23.09.2020;21:00:00;37409;42.23;17933;77670
23.09.2020;22:00:00;37358;42;17934;77780
23.09.2020;23:00:00;37375;41.98;17895;77748
24.09.2020;10:00:00;37242;42.07;17866;77806
24.09.2020;11:00:00;37207;41.93;17792;77979
24.09.2020;12:00:00;37400;42.19;17933;77923
24.09.2020;13:00:00;37673;42.39;17994;77711
24.09.2020;14:00:00;37606;42.32;17936;77920
24.09.2020;15:00:00;37617;42;17842;78068
24.09.2020;16:00:00;37902;42.12;17913;77945
24.09.2020;17:00:00;37800;42.17;17948;77982
24.09.2020;18:00:00;37873;42.15;17990;77840
24.09.2020;19:00:00;37836;42.14;17675;77699
24.09.2020;20:00:00;37918;42.48;17641;77671
24.09.2020;21:00:00;37855;42.29;17606;77776
24.09.2020;22:00:00;37908;42.37;17641;77818
24.09.2020;23:00:00;37846;42.36;17619;77805
25.09.2020;10:00:00;38128;42.63;17455;77463
25.09.2020;11:00:00;38231;42.75;17514;77671
25.09.2020;12:00:00;38029;42.55;17285;77999
25.09.2020;13:00:00;37946;42.18;17271;78411
25.09.2020;14:00:00;37918;42.27;17309;78219
25.09.2020;15:00:00;38075;42.42;17266;78444
25.09.2020;16:00:00;38137;42.26;17254;78863
25.09.2020;17:00:00;38197;42.3;17218;78930
25.09.2020;18:00:00;38264;42.16;17152;78940
25.09.2020;19:00:00;38205;42.41;17411;79044
25.09.2020;20:00:00;38142;42.41;17495;78877
25.09.2020;21:00:00;38160;42.42;17509;78852
25.09.2020;22:00:00;38235;42.34;17542;78910
25.09.2020;23:00:00;38287;42.33;17535;78862
28.09.2020;10:00:00;38503;42.15;17701;79255
28.09.2020;11:00:00;38215;42.11;17552;79389
28.09.2020;12:00:00;38434;42.15;17491;79535
28.09.2020;13:00:00;38545;42.59;17491;79439
28.09.2020;14:00:00;38458;42.52;17397;79330
28.09.2020;15:00:00;38534;42.85;17434;79379
28.09.2020;16:00:00;38545;42.36;17412;79605
28.09.2020;17:00:00;38525;42.51;17387;79820
28.09.2020;18:00:00;38643;42.75;17393;79700
28.09.2020;19:00:00;38665;42.87;17422;79845
28.09.2020;20:00:00;38633;42.74;17437;79768
28.09.2020;21:00:00;38650;43.02;17454;79725
28.09.2020;22:00:00;38633;42.91;17458;79704
28.09.2020;23:00:00;38689;42.99;17460;79739
29.09.2020;10:00:00;38669;42.7;17332;80264
29.09.2020;11:00:00;38457;42.61;17375;80462
29.09.2020;12:00:00;38620;42.7;17465;80067
29.09.2020;13:00:00;38657;42.69;17459;79566
29.09.2020;14:00:00;38535;42.66;17420;79470
29.09.2020;15:00:00;38572;42.66;17353;79414
29.09.2020;16:00:00;38334;42.31;17379;79441
29.09.2020;17:00:00;38391;41.82;17248;79853
29.09.2020;18:00:00;38510;41.17;17266;79933
29.09.2020;19:00:00;38497;41.24;17318;79697
29.09.2020;20:00:00;38487;41.27;17321;79668
29.09.2020;21:00:00;38498;41.45;17334;79534
29.09.2020;22:00:00;38460;41.37;17332;79623
29.09.2020;23:00:00;38500;41.38;17342;79738
30.09.2020;10:00:00;38525;41.26;17250;79419
30.09.2020;11:00:00;38636;41.3;17253;79128
30.09.2020;12:00:00;38620;41.1;17212;78916
30.09.2020;13:00:00;38656;41.19;17259;78987
30.09.2020;14:00:00;38641;41.38;17276;79073
30.09.2020;15:00:00;38637;41.38;17220;78738
30.09.2020;16:00:00;38749;41.62;17279;78419
30.09.2020;17:00:00;38645;41.87;17310;78210
30.09.2020;18:00:00;38470;41.82;17289;78211
30.09.2020;19:00:00;38506;42.1;17306;78252
30.09.2020;20:00:00;38495;42.05;17322;78244
30.09.2020;21:00:00;38475;42.16;17305;78412
30.09.2020;22:00:00;38545;42.11;17320;78325
30.09.2020;23:00:00;38451;42.09;17191;78251
01.10.2020;10:00:00;38400;42.1;17086;77974
01.10.2020;11:00:00;38378;41.97;16986;78013
01.10.2020;12:00:00;38590;42.06;17026;77951
01.10.2020;13:00:00;38553;41.82;17033;77829
01.10.2020;14:00:00;38836;41.77;17153;77720
01.10.2020;15:00:00;38908;41.66;17147;77821
01.10.2020;16:00:00;38711;41.02;17011;77952
01.10.2020;17:00:00;38786;40.38;17005;78075
01.10.2020;18:00:00;38730;40.14;16992;78155
01.10.2020;19:00:00;38739;40.56;17006;78119
01.10.2020;20:00:00;38680;40.74;17010;77958
01.10.2020;21:00:00;38663;40.97;16999;77959
01.10.2020;22:00:00;38613;40.89;17020;77925
01.10.2020;23:00:00;38613;40.9;17002;77928
02.10.2020;10:00:00;38109;39.77;16931;78803
02.10.2020;11:00:00;38057;39.72;16954;79065
02.10.2020;12:00:00;37988;39.3;16954;79125
02.10.2020;13:00:00;38315;39.36;17035;79030
02.10.2020;14:00:00;38147;39.37;17067;79181
02.10.2020;15:00:00;38078;39.16;17075;79211
02.10.2020;16:00:00;38244;39.3;17151;78970
02.10.2020;17:00:00;38220;39.4;17160;79063
02.10.2020;18:00:00;38085;39.8;17138;78836
02.10.2020;19:00:00;38211;39.57;17154;78742
02.10.2020;20:00:00;38188;39.28;17128;78795
02.10.2020;21:00:00;38125;39.12;17117;78807
02.10.2020;22:00:00;38151;39.15;17130;78794
02.10.2020;23:00:00;38157;39.23;17115;78749
05.10.2020;10:00:00;38440;39.99;17076;78827
05.10.2020;11:00:00;38450;40.22;17050;78917
05.10.2020;12:00:00;38632;40.81;17081;78881
05.10.2020;13:00:00;38723;40.77;17104;79150
05.10.2020;14:00:00;38955;40.9;17148;79286
05.10.2020;15:00:00;38858;40.64;17160;79367
05.10.2020;16:00:00;38996;41.06;17079;78971
05.10.2020;17:00:00;39117;41.51;17159;78819
05.10.2020;18:00:00;39134;41.66;17136;78929
05.10.2020;19:00:00;39126;41.7;17172;78685
05.10.2020;20:00:00;39101;41.6;17169;78785
05.10.2020;21:00:00;39106;41.44;17210;78721
05.10.2020;22:00:00;39157;41.5;17219;78731
05.10.2020;23:00:00;39154;41.6;17221;78645
06.10.2020;10:00:00;39485;41.44;17486;79104
06.10.2020;11:00:00;39600;41.67;17464;79070
06.10.2020;12:00:00;39530;41.69;17435;78974
06.10.2020;13:00:00;39414;41.73;17433;78788
06.10.2020;14:00:00;39410;42.02;17473;78441
06.10.2020;15:00:00;39409;42.28;17469;78357
06.10.2020;16:00:00;39455;42.59;17441;78444
06.10.2020;17:00:00;39506;42.74;17404;78529
06.10.2020;18:00:00;39401;42.56;17388;78605
06.10.2020;19:00:00;39450;42.33;17441;78595
06.10.2020;20:00:00;39425;42.41;17447;78558
06.10.2020;21:00:00;39254;42.28;17404;78849
06.10.2020;22:00:00;39304;42.18;17370;78941
06.10.2020;23:00:00;39164;41.99;17314;79035
07.10.2020;10:00:00;39051;42.23;17265;78632
07.10.2020;11:00:00;39047;42.12;17097;78703
07.10.2020;12:00:00;38883;42;17063;78908
07.10.2020;13:00:00;38726;41.76;16944;78940
07.10.2020;14:00:00;38828;41.85;16938;78698
07.10.2020;15:00:00;38800;42.11;16959;78561
07.10.2020;16:00:00;38860;41.74;16927;78817
07.10.2020;17:00:00;38738;41.46;16911;78793
07.10.2020;18:00:00;38922;41.72;16910;78828
07.10.2020;19:00:00;38916;41.6;16928;78754
07.10.2020;20:00:00;39069;41.85;16970;78734
07.10.2020;21:00:00;38969;42.01;16983;78578
07.10.2020;22:00:00;39028;42.12;16980;78582
07.10.2020;23:00:00;39030;42.19;16984;78577
08.10.2020;10:00:00;39210;42.57;16928;78487
08.10.2020;11:00:00;38972;42.57;16945;78565
08.10.2020;12:00:00;38853;42.61;16956;78492
08.10.2020;13:00:00;38882;42.71;16929;78180
08.10.2020;14:00:00;38841;42.73;16878;78040
08.10.2020;15:00:00;39429;42.98;16916;78034
08.10.2020;16:00:00;39503;43.17;16825;78021
08.10.2020;17:00:00;39303;42.83;16837;78058
08.10.2020;18:00:00;39266;42.88;16827;77975
08.10.2020;19:00:00;39356;43.4;16882;77894
08.10.2020;20:00:00;39359;43.3;16874;77891
08.10.2020;21:00:00;39354;43.43;16909;77931
08.10.2020;22:00:00;39361;43.45;16901;77876
08.10.2020;23:00:00;39381;43.5;16904;77905
09.10.2020;10:00:00;38880;43.49;16817;77519
09.10.2020;11:00:00;38611;43.05;16796;77623
09.10.2020;12:00:00;38586;43.05;16885;77718
09.10.2020;13:00:00;38718;43.03;16892;77646
09.10.2020;14:00:00;38835;43.05;16944;77607
09.10.2020;15:00:00;38892;43.15;16933;77455
09.10.2020;16:00:00;38737;43.19;16936;77426
09.10.2020;17:00:00;38812;43.18;16889;77227
09.10.2020;18:00:00;38757;43.28;16873;77282
09.10.2020;19:00:00;38750;42.81;16863;77366
09.10.2020;20:00:00;38789;42.88;16868;77307
09.10.2020;21:00:00;38743;42.77;16875;77282
09.10.2020;22:00:00;38798;42.85;16852;77350
09.10.2020;23:00:00;38798;42.84;16856;77270
12.10.2020;10:00:00;38595;42.35;16964;77532
12.10.2020;11:00:00;38648;42.21;17060;77666
12.10.2020;12:00:00;38600;42.32;17050;77688
12.10.2020;13:00:00;38696;42.45;17089;77582
12.10.2020;14:00:00;38613;42.36;17047;77487
12.10.2020;15:00:00;38631;42.29;17063;77481
12.10.2020;16:00:00;38552;41.67;17012;77602
12.10.2020;17:00:00;38448;41.74;17037;77591
12.10.2020;18:00:00;38479;41.62;17030;77606
12.10.2020;19:00:00;38553;41.57;17039;77597
12.10.2020;20:00:00;38486;41.7;17052;77577
12.10.2020;21:00:00;38520;41.68;17049;77604
12.10.2020;22:00:00;38514;41.79;17053;77644
12.10.2020;23:00:00;38511;41.73;17058;77657
13.10.2020;10:00:00;38375;41.82;16967;77822
13.10.2020;11:00:00;38510;42.3;17066;77661
13.10.2020;12:00:00;38542;42.48;17050;77564
13.10.2020;13:00:00;38484;42.36;17029;77523
13.10.2020;14:00:00;38361;42.58;16971;77472
13.10.2020;15:00:00;38250;42.18;16920;77647
13.10.2020;16:00:00;38023;42.35;16864;77716
13.10.2020;17:00:00;38087;42.25;16788;77658
13.10.2020;18:00:00;38109;42.43;16765;77614
13.10.2020;19:00:00;38118;42.57;16786;77523
13.10.2020;20:00:00;38110;42.46;16775;77605
13.10.2020;21:00:00;38009;42.55;16774;77612
13.10.2020;22:00:00;38090;42.49;16794;77581
13.10.2020;23:00:00;38059;42.5;16772;77538
14.10.2020;10:00:00;38175;42.31;16832;77813
14.10.2020;11:00:00;38224;42.6;16872;77676
14.10.2020;12:00:00;38108;42.54;16859;77732